round,weighted_error,alpha,acc_on_training_data,f1_on_training_data,unweighted_error,noisy_weight,clean_weight,val_acc,val_f1
709,0.8920682763240108,0.042590371872529786,0.5084821428571429,0.4950856777617846,0.8980535714285715,,,0.5085714285714286,0.49389045791121433
710,0.8841263912219655,0.08256228300334745,0.5082857142857143,0.49509503341662037,0.85925,,,0.5082142857142857,0.49377819991749405
711,0.8847500433371067,0.07951135748903004,0.5097142857142857,0.4957678394979664,0.874625,,,0.5093571428571428,0.4941082405479794
712,0.8902702191096421,0.05186017495441919,0.5094821428571429,0.4961063475090784,0.8472321428571429,,,0.508,0.4932007442586598
713,0.8851797240888959,0.07740098130204753,0.5092142857142857,0.4953671229366807,0.9169821428571429,,,0.5087857142857143,0.4933895109513406
714,0.8883344601373746,0.06169220664072417,0.508875,0.49460729753938254,0.8875892857142857,,,0.5082142857142857,0.4923172691782268
715,0.8899243558221481,0.0536279577386547,0.508625,0.49451522003641496,0.9315892857142857,,,0.5097142857142857,0.4941365241010107
716,0.8916000142569189,0.0450174586591936,0.5085892857142857,0.4944146916154118,0.8777678571428571,,,0.5096428571428572,0.4939622027087083
717,0.8898759645300939,0.05387490786714566,0.509125,0.494575537699588,0.8615892857142857,,,0.5097142857142857,0.493322427773224
718,0.8908881502107312,0.04868959578787768,0.5090714285714286,0.49468040678014014,0.8745,,,0.5098571428571429,0.49357907425328457
719,0.8839072801640492,0.08363079382576832,0.5088214285714285,0.49539093550178637,0.941,,,0.5094285714285715,0.4942478390373801
720,0.889805475356413,0.054234457684555926,0.5089464285714286,0.49558833812658476,0.8901964285714286,,,0.5106428571428572,0.4956722272008621
721,0.8879122812355145,0.06381669481079877,0.5081785714285715,0.4945657198614091,0.8773392857142858,,,0.5100714285714286,0.4947752885517649
722,0.8893820771758387,0.05638988893173402,0.5088035714285715,0.4953901268427444,0.8360357142857143,,,0.5100714285714286,0.49493752135000424
723,0.8870310690024753,0.06822870128136516,0.508375,0.4944756438756091,0.9010178571428571,,,0.5083571428571428,0.49268950394805
724,0.8894093673491102,0.056251178431149906,0.508375,0.49507434720789834,0.8975178571428571,,,0.5086428571428572,0.4937228613451346
725,0.8907346364669261,0.04947873612732434,0.5084821428571429,0.4949843397399777,0.8339107142857143,,,0.5076428571428572,0.49288962916727985
726,0.8885496869145123,0.06060643904477647,0.5094642857142857,0.49570174748316304,0.8785,,,0.5095714285714286,0.4943577730930399
727,0.891613219757312,0.04494913850884519,0.5094464285714285,0.4951878255797437,0.885125,,,0.5097857142857143,0.49383359922720443
728,0.8862286022009951,0.07222039832109073,0.5092857142857142,0.49501733662824543,0.8799821428571428,,,0.5104285714285715,0.4944702108815163
729,0.8805772714241482,0.09965821705073541,0.5090357142857143,0.4958389566025955,0.8451071428571428,,,0.5095,0.4943269023968252
730,0.887630968313761,0.06522843881731522,0.5076428571428572,0.49339292882352126,0.9,,,0.509,0.49287496508585243
731,0.892166372250828,0.0420807508634955,0.5071964285714285,0.49302611769401833,0.9084464285714285,,,0.5081428571428571,0.4922239722503436
732,0.8895267186721005,0.05565436330439044,0.50725,0.49392917140018255,0.8919464285714286,,,0.5083571428571428,0.49324242260799184
733,0.8894883221394829,0.05584969812659524,0.5074464285714285,0.49374735785934815,0.88675,,,0.5075714285714286,0.4918498767720888
734,0.8920885296411697,0.0424851866378082,0.508125,0.4945558970425822,0.9030357142857143,,,0.5073571428571428,0.4917066440402877
735,0.8901648990917936,0.052399005142478305,0.5083928571428571,0.49452899247415044,0.8893392857142857,,,0.5071428571428571,0.4911934486959719
736,0.8898162240208538,0.05417964412843368,0.5086428571428572,0.4943839920358474,0.8988928571428572,,,0.5069285714285714,0.4905631721103812
737,0.8914864175903113,0.04560486212548964,0.508125,0.4943436571975174,0.8965357142857143,,,0.5077857142857143,0.4920182565717724
738,0.8901963274707434,0.052238261116238416,0.5077678571428571,0.49386773892043606,0.9123214285714286,,,0.5076428571428572,0.4917801336771256
739,0.890877153904577,0.048746154892195026,0.5076964285714286,0.49360360429362926,0.882,,,0.5073571428571428,0.4915156572516275
740,0.8872740049326029,0.06701539119995603,0.508375,0.49370282966492934,0.8999107142857142,,,0.5077142857142857,0.49123076649131514
741,0.8890589086400129,0.05803021602440772,0.507875,0.49359337620772176,0.9014464285714285,,,0.5072857142857143,0.49138277224684873
742,0.8809097530397209,0.09807548855561721,0.5077678571428571,0.4937322527101059,0.8321785714285714,,,0.5073571428571428,0.4916956065830436
743,0.8882412550793177,0.06216183617561777,0.5076428571428572,0.4940578822944133,0.9007678571428571,,,0.508,0.49309964932515093
744,0.886386267197298,0.0714380702872699,0.5073928571428571,0.4948604014853403,0.907,,,0.5089285714285714,0.4951799647449663
745,0.8905900389599166,0.05022115327423049,0.5075357142857143,0.4950635720932578,0.91375,,,0.5086428571428572,0.4949573781962856
746,0.8910814655873627,0.047694467246548244,0.5079107142857143,0.49529237251821245,0.9053928571428571,,,0.5080714285714286,0.4941883411749458
747,0.8863688046866894,0.07152476522596518,0.5082857142857143,0.4956379851617153,0.814375,,,0.5079285714285714,0.49397803849288735
748,0.8864030863679588,0.07135455831094673,0.5069285714285714,0.49356281053210527,0.8530357142857142,,,0.5074285714285715,0.49273314653780426
749,0.8910462936685762,0.047875636846640424,0.5064464285714285,0.493728609605542,0.8961785714285714,,,0.5072142857142857,0.4933396759912602
750,0.8878350257145183,0.06420470283286384,0.5064464285714285,0.4935204680864758,0.8462142857142857,,,0.5078571428571429,0.49376564461295985
751,0.8859267796564382,0.07371539877573197,0.5073035714285714,0.4936094304240372,0.8514464285714286,,,0.5075714285714286,0.49237072317910674
752,0.8814682437881329,0.09540825546446974,0.5089821428571428,0.4946568802671557,0.9000892857142857,,,0.509,0.49322674358148494
753,0.8893078034095638,0.05676725595850263,0.5080535714285714,0.4935656200374501,0.8552142857142857,,,0.508,0.49224312973323514
754,0.8928908965328244,0.038304076896915173,0.5079464285714286,0.4938582275135464,0.8975892857142858,,,0.5081428571428571,0.4929636869298051
755,0.8814420223063972,0.09553372672772253,0.5073392857142857,0.4940488804478658,0.9360892857142857,,,0.508,0.49379576159399907
756,0.8904374040454033,0.05100390429941415,0.5081428571428571,0.4945011872037629,0.897375,,,0.5090714285714286,0.4943897049160877
757,0.8905200139115155,0.050580378523923164,0.5075892857142857,0.4943435465584881,0.9133214285714286,,,0.5082142857142857,0.49382912504884685
758,0.8900555355604182,0.052958043311463365,0.508125,0.4948528946256231,0.9129642857142857,,,0.5089285714285714,0.49456715031992865
759,0.8908384864253096,0.048944999972117875,0.5078214285714285,0.4946679314612566,0.9111607142857143,,,0.5095,0.49537099158556896
760,0.8892860847851385,0.05687756113943743,0.5076785714285714,0.49421766235075076,0.8454285714285714,,,0.5100714285714286,0.4955443795823708
761,0.8880636248046736,0.06305590931004534,0.5075357142857143,0.49418845474291634,0.8453928571428572,,,0.5084285714285715,0.4939801288892586
762,0.8843328968655801,0.08155363509523084,0.5077857142857143,0.4946167087590728,0.888,,,0.5074285714285715,0.4931238948490738
763,0.8832694916985127,0.08673107667294078,0.5074107142857143,0.4937441487651098,0.885875,,,0.5068571428571429,0.4919943461395556
764,0.8860329914629209,0.07318969936164765,0.5075,0.49303689066505507,0.8979464285714286,,,0.5070714285714286,0.4915248741318443
765,0.8866750388049025,0.07000273820873604,0.5074285714285715,0.4924670830044118,0.8865535714285714,,,0.507,0.4907724209571147
766,0.8896793848943237,0.05487711516182281,0.5074642857142857,0.49367606958406596,0.9385178571428572,,,0.5067142857142857,0.4914694223286794
767,0.8922718292077836,0.04153243356000558,0.5070892857142857,0.4934252696206548,0.9105714285714286,,,0.5068571428571429,0.4917308417162685
768,0.8884976420519402,0.0608691608952312,0.5068928571428571,0.4933333290271584,0.88075,,,0.5060714285714286,0.4911187717027675
769,0.8901524389469544,0.05246272281199249,0.5065714285714286,0.4933892632822053,0.9137321428571429,,,0.5063571428571428,0.4917502928417905
770,0.8874709564045977,0.06603006765903086,0.5061964285714285,0.49408623384932493,0.8294285714285714,,,0.506,0.49244600676654127
771,0.8896895060804549,0.054825553291038,0.5080535714285714,0.49543059367302533,0.95025,,,0.5079285714285714,0.4938601322847488
772,0.8916023458163328,0.04500539660425784,0.5076428571428572,0.4951142978023436,0.8528035714285714,,,0.5080714285714286,0.4941373946189171
773,0.8909048867876632,0.04860350220689069,0.5078392857142857,0.4948657083938956,0.8815,,,0.5084285714285715,0.4939888456823075
774,0.893209470513321,0.036636350949437846,0.5073035714285714,0.49449394551556125,0.8999642857142857,,,0.5081428571428571,0.4940069514401932
775,0.8932472477428626,0.03643829782718422,0.5079642857142858,0.4951521634357938,0.91275,,,0.5081428571428571,0.4939534942265918
776,0.8917812404081334,0.04407922562497024,0.507375,0.49461355334637985,0.8792678571428572,,,0.5075,0.4932524939878111
777,0.8902841203921514,0.05178902041099542,0.5071428571428571,0.49523281332995966,0.8810535714285714,,,0.5077857142857143,0.4946593366260978
778,0.889615938298474,0.055200246261428054,0.5065892857142857,0.4944365283751101,0.8603571428571428,,,0.5078571428571429,0.49449818009977947
779,0.8913608062446168,0.04625376454308161,0.5077142857142857,0.49515359417624893,0.8959464285714286,,,0.5087857142857143,0.49501335487719283
780,0.8915062490894106,0.045502353225271186,0.5074821428571429,0.49535923264958237,0.8814107142857143,,,0.5087857142857143,0.4954595930616502
781,0.8867697651208646,0.06953120860707185,0.5075357142857143,0.49525798218871486,0.8563035714285714,,,0.5082142857142857,0.49472016270128194
782,0.8905938729255534,0.05020147938606878,0.508875,0.4963578172527874,0.8756964285714286,,,0.5087857142857143,0.4949924006496708
783,0.8894712016201708,0.0559367762489551,0.5082678571428572,0.4957972587427409,0.8460178571428572,,,0.5077142857142857,0.49384110143879534
784,0.8908139544106828,0.04907112227257815,0.5078571428571429,0.4951429334363996,0.8788571428571429,,,0.5075714285714286,0.4935648251546579
785,0.8919671238941316,0.04311544562270919,0.5078928571428571,0.49475066328808,0.9091071428571429,,,0.5071428571428571,0.49285643059123796
786,0.8854551149219333,0.07604478297833506,0.5075535714285714,0.4946721409494016,0.8413214285714286,,,0.5074285714285715,0.4934209336558887
787,0.8911856768882264,0.0471573760058972,0.5061964285714285,0.4929918126923665,0.9122857142857143,,,0.5066428571428572,0.4923158882031434
788,0.8846070523683596,0.08021213969086238,0.5057678571428571,0.4936503764632406,0.8706607142857142,,,0.5066428571428572,0.49337154763233954
